CodigoEstacion,nombre,alt,lat,lon
21201070,EL CORAZÓN FACATATIVA,2845,4.865361111,-74.28941667
21201210,EL HATO TENJO,3378,4.866388889,-74.15386111
21205420,TIBAITATA MOSQUERA,2543,4.688662,-74.205626
21205770,BASE AEREA MADRID,2550,4.728805556,-74.2725
21205870,EL SALITRE BOJACA,2570,4.738888889,-74.33427778
21205880,FLORES CHIBCHA MADRID,2550,4.789722222,-74.26477778
21205940,VILLA INÉS FACATATIVA,2590,4.83211,-74.38056
21205960,TACHI SUBACHOQUE,2650,4.939055556,-74.15258333
21205980,GRANJA PROVIDENCIA TENJO,2560,4.792388889,-74.20091667
21206060,CASABLANCA MADRID,2575,4.717111111,-74.25333333
21206280,ACAPULCO BOJACÁ,2680,4.64823,-74.32035
